oldID,newID
500-degree-black-rtv-high-temp-silicone-10-3-oz-cartridge-76,76
additional-lava-rock-cinders,w550-0006
ambient-rcb-remote-control-on-off,mon-rcb
ambient-rcst-remote-control-on-off-thermostatic,mon-rcst
american-fireglass-platinum-reflective-1-4-crushed-fire-glass-10-lbs-aff-platrf-10,aff-platrf-10
ascent-x-70-gx70nte-electronic-direct-vent-natural-gas-fireplace,gx70nte-1
azuria-reflective-1-4-crushed-fire-glass-10-lbs-gl10fr,gl10fr
birch-log-kit-blks,blks
black-1-4-crushed-fire-glass-10-lbs-gl10b,gl10b
black-arch-louver-dvg4abl,dvg4abl
black-reflective-1-4-crushed-fire-glass-10-lbs-gl10br,gl10br
blue-1-4-crushed-fire-glass-10-lbs-gl10n,gl10n
blue-reflective-1-4-crushed-fire-glass-10-lbs-gl10nr,gl10nr
bronze-1-4-crushed-fire-glass-10-lbs-gl10z,gl10z
bronze-reflective-1-4-crushed-fire-glass-10-lbs-gl10zr,gl10zr
ceramic-fiber-log-set-ls42ff,ls42ff
champagne-reflective-1-4-crushed-fire-glass-10-lbs-gl10cr,gl10cr
clear-1-4-crushed-fire-glass-10-lbs-gl10c,gl10c
copper-1-4-crushed-fire-glass-10-lbs-gl10cp,gl10cp
copper-reflective-1-4-crushed-fire-glass-10-lbs-gl10jqr,gl10jqr
dimplex-30-revillusion-built-in-electric-firebox-rbf30wc,rbf30wc
dimplex-33-multi-fire-xd-electric-firebox-pf3033hg,pf3033hg
dimplex-accessory-driftwood-50-kit-lf50dws-kit,lf50dws-kit
dimplex-accessory-driftwood-74-kit-lf74dws-kit,lf74dws-kit
dimplex-ignite-xlf-50-trim-kit-xlftrim50,xlf50trim
dimplex-ignite-xlf-60-trim-kit-xlftrim60,xlftrim60
dimplex-ignitexl-100-inch-wall-mounted-electric-fireplace-xlf100,xlf100
dimplex-ignitexl-50-inch-wall-mount-linear-electric-fireplace-xlf50,xlf50
dimplex-ignitexl-60-inch-wall-mount-linear-electric-fireplace-xlf60,xlf60
dimplex-ignitexl-74-inch-wall-mount-linear-electric-fireplace-xlf74,xlf74
dimplex-log-set-for-opti-myst-pro-1000-built-in-electric-cassette-cdfilog-kit,cdfilog-kit
dimplex-log-set-for-opti-myst-pro-500-built-in-electric-cassette-cdfilog,cdfilog
dimplex-media-tray-for-opti-myst-pro-1000-cdfi1000-tray,cdfi1000-tray
dimplex-opti-myst-black-rock-media-cdfi1000-blkrck,cdfi1000-blkrck
dimplex-opti-myst-driftwood-media-cdfi1000-dwskit,cdfi1000-dwskit
dimplex-opti-myst-log-insert-dlgm29,dlgm29
dimplex-opti-myst-pro-1000-built-in-electric-cassette-cdfi1000-pro,cdfi1000-pro
dimplex-opti-myst-pro-1000-built-in-electric-firebox-gbf1000-pro,gbf1000-pro
dimplex-opti-myst-pro-1500-built-in-electric-firebox-gbf1500-pro,gbf1500-pro
dimplex-opti-myst-pro-500-built-in-electric-cassette-cdfi500-pro,cdfi500-pro
dimplex-opti-myst-river-rock-media-cdfi1000-rvrck-1,cdfi1000-rvrck
dimplex-opti-v-duet-electric-fireplace-vf5452l,vf5452l
dimplex-opti-v-solo-electric-fireplace-vf2927l,vf2927l
dimplex-plumbing-kit-for-opti-myst-pro-built-in-electric-cassette-cdfiplumb-kit,cdfiplumb-kit
dimplex-prism-34-inch-wall-mounted-electric-fireplace-blf3451,blf3451
dimplex-prism-50-inch-wall-mounted-electric-fireplace-blf5051,blf5051
dimplex-prism-74-inch-wall-mounted-electric-fireplace-blf7451,blf7451
dimplex-synergy-50-inch-wall-mounted-electric-fireplace-blf50,blf50
duravent-12-pipe-extension-3pvp12a,3pvp-12a
duravent-12-pipe-extension-4pvp12a,4pvp-12a
duravent-12-pipe-extension-black-3pvp12ab,3pvp-12ab
duravent-12-pipe-extension-black-4pvp12ab,4pvp-12ab
duravent-12-straight-length-pipe-3pvp12,3pvp-12
duravent-12-straight-length-pipe-4pvp12,4pvp-12
duravent-12-straight-length-pipe-black-3pvp12b,3pvp-12b
duravent-12-straight-length-pipe-black-4pvp12b,4pvp-12b
duravent-12-straight-length-pipe-ss-3pvp12ss,3pvp-12ss
duravent-12-straight-length-pipe-ss-4pvp12ss,4pvp-12ss
duravent-18-pipe-extension-3pvp18a,3pvp-18a
duravent-18-pipe-extension-black-3pvp18ab,3pvp-18ab
duravent-23-galvanized-fresh-air-increaser-3pvpinc,3pvp-inc
duravent-24-straight-length-pipe-3pvp24,3pvp-24
duravent-24-straight-length-pipe-4pvp24,4pvp-24
duravent-24-straight-length-pipe-black-3pvp24b,3pvp-24b
duravent-24-straight-length-pipe-black-4pvp24b,4pvp-24b
duravent-24-straight-length-pipe-ss-3pvp24ss,3pvp-24ss
duravent-24-straight-length-pipe-ss-4pvp24ss,4pvp-24ss
duravent-3-4-pelletvent-pro-fresh-air-intake-kit-3pvpaik,3pvp-aik
duravent-3-diameter-18-length-pipe-3pvp18,3pvp-18
duravent-3-diameter-48-length-pipe-3pvp48,3pvp-48
duravent-3-diameter-adapter-tee-ravelli-3pvptadr,3pvp-tadr
duravent-3-diameter-c-clamp-3pvpcc,3pvp-cc
duravent-3-diameter-replacement-gasket-3pvpga1,3pvp-ga1
duravent-3-pelletvent-pro-horizontal-kit-3pvpkha,3pvp-kha
duravent-3-pelletvent-pro-vertical-kit-cathedral-3pvpkvb,3pvp-kvb
duravent-3-pelletvent-pro-vertical-kit-flat-ceiling-3pvpkva,3pvp-kva
duravent-3-prairie-termination-cap-black-w-3-exhaust-vent-and-3-air-intake-3pvpvctb33,3pvp-vctb33
duravent-3-prairie-termination-cap-stainless-w-3-exhaust-vent-and-3-air-intake-3pvpvct33,3pvp-vct33
duravent-3-pvp-appliance-adapter-ravelli-3pvpadr,3pvp-adr
duravent-3-replacement-gasket-3pvpga,3pvp-ga
duravent-3-wall-thimble-air-intake-kit-3pvpwti,3pvp-wti
duravent-36-straight-length-pipe-3pvp36,3pvp-36
duravent-36-straight-length-pipe-4pvp36,4pvp-36
duravent-36-straight-length-pipe-black-3pvp36b,3pvp-36b
duravent-36-straight-length-pipe-black-4pvp36b,4pvp-36b
duravent-4-diameter-18-length-pipe-4pvp18,4pvp-18
duravent-4-diameter-48-length-pipe-4pvp48,4pvp-48
duravent-4-diameter-48-length-pipe-black-4pvp48b,4pvp-48b
duravent-4-diameter-w-3-adapter-branch-3pvptadx41,3pvp-tadx41
duravent-4-diameter-w-3-adapter-branch-black-3pvptadx4b1,3pvp-tadx4b1
duravent-4-pelletvent-pro-fresh-air-intake-kit-4pvpaik,4pvp-aik
duravent-4-pelletvent-pro-horizontal-kit-4pvpkha,4pvp-kha
duravent-4-pelletvent-pro-vertical-kit-cathedral-4pvpkvb,4pvp-kvb
duravent-4-pelletvent-pro-vertical-kit-flat-ceiling-4pvpkva,4pvp-kva
duravent-4-wall-thimble-air-intake-kit-4pvpwti,4pvp-wti
duravent-45-elbow-black-3pvpe45b,3pvp-e45b
duravent-48-pipe-extension-3pvp48a,3pvp-48a
duravent-48-pipe-extension-black-3pvp48ab,3pvp-48ab
duravent-6-durablack-stovepipe-kit-6dbkksp,6dbk-ksp
duravent-6-straight-length-pipe-3pvp06,3pvp-06
duravent-6-straight-length-pipe-4pvp06,4pvp-06
